student_id,job_id,student_name,email,active
S00001,J0001,Student 1,student1@example.com,True
S00002,J0001,Student 2,student2@example.com,True
S00003,J0001,Student 3,student3@example.com,True
S00004,J0002,Student 4,student4@example.com,False
S00005,J0002,Student 5,student5@example.com,True
S00006,J0002,Student 6,student6@example.com,True
S00007,J0002,Student 7,student7@example.com,True
S00008,J0002,Student 8,student8@example.com,True
S00009,J0002,Student 9,student9@example.com,True
S00010,J0003,Student 10,student10@example.com,True
S00011,J0003,Student 11,student11@example.com,False
S00012,J0003,Student 12,student12@example.com,True
S00013,J0004,Student 13,student13@example.com,True
S00014,J0004,Student 14,student14@example.com,True
S00015,J0004,Student 15,student15@example.com,True
S00016,J0005,Student 16,student16@example.com,False
S00017,J0005,Student 17,student17@example.com,False
S00018,J0005,Student 18,student18@example.com,True
S00019,J0005,Student 19,student19@example.com,True
S00020,J0005,Student 20,student20@example.com,True
S00021,J0005,Student 21,student21@example.com,True
S00022,J0006,Student 22,student22@example.com,False
S00023,J0006,Student 23,student23@example.com,False
S00024,J0006,Student 24,student24@example.com,True
S00025,J0006,Student 25,student25@example.com,True
S00026,J0006,Student 26,student26@example.com,True
S00027,J0007,Student 27,student27@example.com,True
S00028,J0007,Student 28,student28@example.com,True
S00029,J0007,Student 29,student29@example.com,True
S00030,J0007,Student 30,student30@example.com,True
S00031,J0007,Student 31,student31@example.com,True
S00032,J0007,Student 32,student32@example.com,False
S00033,J0008,Student 33,student33@example.com,False
S00034,J0008,Student 34,student34@example.com,False
S00035,J0008,Student 35,student35@example.com,False
S00036,J0009,Student 36,student36@example.com,True
S00037,J0009,Student 37,student37@example.com,True
S00038,J0009,Student 38,student38@example.com,True
S00039,J0009,Student 39,student39@example.com,True
S00040,J0009,Student 40,student40@example.com,True
S00041,J0010,Student 41,student41@example.com,False
S00042,J0010,Student 42,student42@example.com,True
S00043,J0010,Student 43,student43@example.com,False
S00044,J0010,Student 44,student44@example.com,True
S00045,J0010,Student 45,student45@example.com,True
S00046,J0011,Student 46,student46@example.com,True
S00047,J0011,Student 47,student47@example.com,True
S00048,J0011,Student 48,student48@example.com,True
S00049,J0011,Student 49,student49@example.com,True
S00050,J0012,Student 50,student50@example.com,True
S00051,J0012,Student 51,student51@example.com,True
S00052,J0012,Student 52,student52@example.com,True
S00053,J0012,Student 53,student53@example.com,False
S00054,J0012,Student 54,student54@example.com,True
S00055,J0013,Student 55,student55@example.com,True
S00056,J0013,Student 56,student56@example.com,True
S00057,J0013,Student 57,student57@example.com,True
S00058,J0014,Student 58,student58@example.com,True
S00059,J0014,Student 59,student59@example.com,True
S00060,J0014,Student 60,student60@example.com,True
S00061,J0015,Student 61,student61@example.com,True
S00062,J0015,Student 62,student62@example.com,True
S00063,J0015,Student 63,student63@example.com,True
S00064,J0015,Student 64,student64@example.com,False
S00065,J0015,Student 65,student65@example.com,True
S00066,J0015,Student 66,student66@example.com,True
S00067,J0016,Student 67,student67@example.com,True
S00068,J0016,Student 68,student68@example.com,True
S00069,J0016,Student 69,student69@example.com,True
S00070,J0016,Student 70,student70@example.com,False
S00071,J0016,Student 71,student71@example.com,True
S00072,J0016,Student 72,student72@example.com,False
